riskKey,projectKey,scenarioKey,riskType,category,title,rootCause,impactScopeJson,impactedRowKeys,suggestedAction,coordinationRole,severity,status
京东::schedule_risk::1126,京东,,产品解决方案,产品解决方案,未检测到网络（参数面）、网络（业务、样本、带外管理）、通算平面设备，请TD确认是否漏配,未检测到网络（参数面）、网络（业务、样本、带外管理）、通算平面设备，请TD确认是否漏配,"{""effect"": ""关键平面或关键设备缺失，影响项目可交付性"", ""issueId"": ""90c6e273cc13003dd35293438fb05c1f"", ""progress"": ""新增"", ""ruleId"": """"}",,,TD,中,已关闭
京东::schedule_risk::1127,京东,,产品解决方案,产品解决方案,"计算领域未配置管理软件，后续计算领域软硬件纳管存在较大风险,请TD审视修改","计算领域未配置管理软件，后续计算领域软硬件纳管存在较大风险,请TD审视修改","{""effect"": ""关键平面或关键设备缺失，影响项目可交付性"", ""issueId"": ""aa96977e4b3f4328ec66ba1b3bd4f948"", ""progress"": ""新增"", ""ruleId"": """"}",,,TD,中,已关闭
京东::schedule_risk::1128,京东,,产品解决方案,产品解决方案,Atlas800T A2设备的A2芯片与客户平台已适配，本项目Atlas 900 A3 SuperPoD设备的A3芯片与客户平台适配风险较小，请远程交付方案专家提前与产品线确认适配风险,Atlas800T A2设备的A2芯片与客户平台已适配，本项目Atlas 900 A3 SuperPoD设备的A3芯片与客户平台适配风险较小，请远程交付方案专家提前与产品线确认适配风险,"{""effect"": ""第三方集成产品和系统方案存在兼容性风险，影响算力使用"", ""issueId"": ""e40399c55524655b1d16bd77e21f4705"", ""progress"": ""新增"", ""ruleId"": """"}",,,远程交付方案专家,中,已关闭
京东::schedule_risk::1129,京东,,昇腾（风冷/液冷）部件兼容性特性满足度与成熟度,昇腾（风冷/液冷）部件兼容性特性满足度与成熟度,昇腾设备的RAID卡不在RAID卡兼容性表中，请远程交付方案专家联系研发确认raid卡驱动与操作系统的兼容性。,昇腾设备的RAID卡不在RAID卡兼容性表中，请远程交付方案专家联系研发确认raid卡驱动与操作系统的兼容性。,"{""effect"": ""智算设备与操作系统存在兼容性风险，影响软调阶段系统安装。"", ""issueId"": ""1e1de0478a5be2b89d30d5711345c20a"", ""progress"": ""新增"", ""ruleId"": """"}",,,远程交付方案专家,低,已关闭
京东::schedule_risk::1130,京东,,昇腾（风冷/液冷）部件兼容性特性满足度与成熟度,昇腾（风冷/液冷）部件兼容性特性满足度与成熟度,昇腾设备的网络卡不在网卡兼容性表中，请远程交付方案专家联系研发确认网卡驱动与操作系统的兼容性。,昇腾设备的网络卡不在网卡兼容性表中，请远程交付方案专家联系研发确认网卡驱动与操作系统的兼容性。,"{""effect"": ""智算设备与操作系统存在兼容性风险，影响软调阶段系统安装。"", ""issueId"": ""937dd7a8182442e2fe54e68d17fb87a3"", ""progress"": ""新增"", ""ruleId"": """"}",,,远程交付方案专家,低,已关闭
京东::schedule_risk::1131,京东,,管理软件配置要求,管理软件配置要求,检测到项目中未配置CCAE硬件设备，存在灵衢设备无法纳管监控风险,检测到项目中未配置CCAE硬件设备，存在灵衢设备无法纳管监控风险,"{""effect"": ""灵衢设备无法纳管监控风险"", ""issueId"": ""29d1b33f57f51c7ccb2f8a489dd90f22"", ""progress"": ""新增"", ""ruleId"": """"}",,,远程交付方案专家,高,已关闭
京东::schedule_risk::1132,京东,,管理软件配置要求,管理软件配置要求,项目中可能存在非华为设备，但具体信息不明确，需进一步确认其是否满足配置要求,项目中可能存在非华为设备，但具体信息不明确，需进一步确认其是否满足配置要求,"{""effect"": ""影响相关设备的安装部署"", ""issueId"": ""e109dd6c9e2647dc970118a9f154a890"", ""progress"": ""新增"", ""ruleId"": """"}",,,远程交付方案专家,高,已关闭
京东::schedule_risk::1133,京东,,机房洁净度风险,机房洁净度风险,智算设备对机房洁净度有严格要求，设备入场前，机房应做好除尘工作，满足以下要求。机房洁净度不满足，机柜等设备不能进场。 1、符合数据中心清洁标准ISO14644-1 Class8  2、机房无爆炸性、导电性、导磁性及腐蚀性尘埃  3、腐蚀产物厚度最大增长速率（满足ANSI/ISA-71.04-2013定义的气体腐蚀等级G1）：铜测试片：300 Å/月  银测试片：200 Å/月,智算设备对机房洁净度有严格要求，设备入场前，机房应做好除尘工作，满足以下要求。机房洁净度不满足，机柜等设备不能进场。 1、符合数据中心清洁标准ISO14644-1 Class8  2、机房无爆炸性、导电性、导磁性及腐蚀性尘埃  3、腐蚀产物厚度最大增长速率（满足ANSI/ISA-71.04-2013定义的气体腐蚀等级G1）：铜测试片：300 Å/月  银测试片：200 Å/月,"{""effect"": ""影响设备稳定可靠运行。"", ""issueId"": ""5a8ac836ac046722f04c7f6d2c440bfa"", ""progress"": ""新增"", ""ruleId"": """"}",,,PD,中,已关闭
京东::schedule_risk::1134,京东,,物料齐套风险,物料齐套风险,计算（含通算和智算）、存储、网络、线缆物料种类多，当海外项目智算销售通路不同，或客户供应MPO线缆等物料时，易出现物料齐套到货风险。,计算（含通算和智算）、存储、网络、线缆物料种类多，当海外项目智算销售通路不同，或客户供应MPO线缆等物料时，易出现物料齐套到货风险。,"{""effect"": ""可能导致项目窝工。"", ""issueId"": ""ed2313e8fbbc275651e3770e297201b6"", ""progress"": ""新增"", ""ruleId"": """"}",,,供应经理,中,已关闭
京东::schedule_risk::1135,京东,,光纤端面脏污和光模块脏污风险,光纤端面脏污和光模块脏污风险,由于机房洁净度不足或者光纤连接器的断面缺乏保护导致暴露在空气中，造成断面沾染灰尘等污染物，阻碍或干扰光信号传输，导致信号传输质量下降，甚至可能导致训推性能下降甚至业务中断的风险。,由于机房洁净度不足或者光纤连接器的断面缺乏保护导致暴露在空气中，造成断面沾染灰尘等污染物，阻碍或干扰光信号传输，导致信号传输质量下降，甚至可能导致训推性能下降甚至业务中断的风险。,"{""effect"": ""信号传输质量下降，可能导致训推性能下降甚至业务中断。"", ""issueId"": ""c741f6b5536eaaa1858f3954a20adb49"", ""progress"": ""新增"", ""ruleId"": """"}",,,PD,高,已关闭
